sample,AAC,tissue
CL1,0.0507053324174494,Prostate
CL2,0.163112968581298,Esophagus/Stomach
CL4,0.270218325245285,Bladder/Urinary Tract
CL5,0.0716189693489764,CNS/Brain
CL6,0.360982703905138,Bladder/Urinary Tract
CL7,0.0536136252249628,Bladder/Urinary Tract
CL8,0.125725337516919,Bladder/Urinary Tract
CL9,0.240158339322319,Lymphoid
CL10,0.227740606841009,Kidney
CL11,0.0542347072231286,Kidney
CL12,0.058001140099996,CNS/Brain
CL13,0.182194392164108,Thyroid
CL14,0.0769508636192121,Thyroid
CL15,0.0365375633090605,CNS/Brain
CL16,0.163955026922479,Soft Tissue
CL17,0.0803948838090745,Skin
CL18,0.0337038532620843,Kidney
CL19,0.0970411960268811,Lung
CL20,0.0677364258131939,Bone
CL21,0.0535008416667964,Skin
CL22,0.00676394885322736,Skin
CL23,0.125031660269456,Ovary/Fallopian Tube
CL24,0.109049524110071,Lymphoid
CL25,0.155824799148377,Lymphoid
CL26,0.0647412291616101,Pleura
CL27,0.202417740973115,Kidney
CL28,0.0628742973918978,Esophagus/Stomach
CL29,0.161346354248553,Lymphoid
CL30,0.085635800521943,Myeloid
CL31,0.0180376302183967,Lymphoid
CL32,0.137240003341992,Uterus
CL33,0.0787329864121484,Pancreas
CL34,0.257793690330614,Breast
CL35,0.17137270347293,Thyroid
CL36,0.116835408847651,Bladder/Urinary Tract
CL38,0.0480659242236769,Bladder/Urinary Tract
CL39,0.0420228360639711,Bladder/Urinary Tract
CL40,0.0724849669693489,Thyroid
CL41,0.403159513141185,Head and Neck
CL43,0.0569914560770819,Head and Neck
CL45,0.210902250610125,Head and Neck
CL48,0,Lymphoid
CL49,0.0411569731177722,CNS/Brain
CL50,0.063107281630586,Breast
CL51,0.145336560735187,Breast
CL52,0,Breast
CL53,0.219584199815572,Myeloid
CL54,0.169909813371793,Pancreas
CL55,0.147229064864565,Bowel
CL56,0.063710599110915,Lymphoid
CL57,0.135765109779118,Kidney
CL58,0.136037933404112,Kidney
CL59,0.348409323074569,Lung
CL61,0.258219358869612,Head and Neck
CL62,0.115943612032089,Breast
CL63,0.340141020038609,Kidney
CL64,0.065345944405261,Thyroid
CL65,0.0961752347611669,Bone
CL67,0.125620976332879,Lung
CL70,0.0876620357620777,Breast
CL71,0.117354094272604,Ovary/Fallopian Tube
CL72,0.0715414674761175,Pancreas
CL73,0.130715847521464,Pancreas
CL75,3.7463684044466e-16,CNS/Brain
CL78,0.0428059348329688,Peripheral Nervous System
CL79,0.0641413361865242,Peripheral Nervous System
CL80,0.0268089038313491,Skin
CL81,0.0758700837331198,Bowel
CL82,0.0949120656210517,Myeloid
CL83,0.134539272722963,Myeloid
CL84,0.00380589119485177,Lung
CL85,0.183683994410648,Bowel
CL86,0.204952266116963,Esophagus/Stomach
CL87,0.0947141467411719,Skin
CL88,0.0878990172395149,Skin
CL89,0.0671059778554181,Skin
CL90,0.408228425783706,Lung
CL91,0.0585228364247909,Lung
CL92,0.0900648736469298,Lung
CL93,0,Lung
CL94,0.0304410371037013,Ovary/Fallopian Tube
CL95,0.168287963013114,Ovary/Fallopian Tube
CL96,0.143276800423284,Ovary/Fallopian Tube
CL97,0.15961982432912,Bowel
CL98,0.095545052241322,CNS/Brain
CL99,0.286703236409718,Pancreas
CL100,0.0821105686365203,CNS/Brain
CL101,0.161375856090156,Lymphoid
CL102,0.176107399810136,Lymphoid
CL103,0.0943860519986837,CNS/Brain
CL104,0.130275039973006,Lymphoid
CL106,0.0693365918310292,CNS/Brain
CL107,0.0537341874257138,Lung
CL108,0.03213359324454,Lung
CL109,0.132354134592996,Lung
CL110,0.113371976162968,Lymphoid
CL111,0.0861134589721936,Prostate
CL112,0.189439757035578,Lung
CL113,0.156750522622793,Lymphoid
CL114,0.0640838623090066,Lung
CL116,0.183471510145667,Esophagus/Stomach
CL117,0.0601252235485803,Esophagus/Stomach
CL119,0.0954087546462329,Breast
CL120,0.0149557751913345,Ovary/Fallopian Tube
CL122,0.126393226289845,Lymphoid
CL123,0.0119929120239276,Lymphoid
CL124,0.327154891118911,Lung
CL125,0.181228518040962,Myeloid
CL126,0.00474067544261515,Uterus
CL127,0.278083201570292,Myeloid
CL128,0.273756831153132,Lung
CL129,0.0977226461239743,Ovary/Fallopian Tube
CL130,0.017749009882756,Uterus
CL131,0.177105671821626,Myeloid
CL132,0.238285630048982,Head and Neck
CL133,0.0149394812314704,Thyroid
CL134,0.0485851260523657,Thyroid
CL135,0.148494646665044,Ovary/Fallopian Tube
CL136,0.0739089000315441,Bone
CL137,0.173818297186958,Skin
CL138,0.0738467659599461,Kidney
CL139,0.0523268059973323,Soft Tissue
CL140,0.0651777912502322,CNS/Brain
CL141,0.125540609915361,CNS/Brain
CL142,0.121220734882541,Soft Tissue
CL143,0.00337369509613706,CNS/Brain
CL144,0.0258994648723252,CNS/Brain
CL145,0.0614714398292187,CNS/Brain
CL146,0.292638643484656,Bowel
CL147,0.00598798828018196,Lymphoid
CL148,0.147854838226058,Esophagus/Stomach
CL149,0.0591205557950165,Esophagus/Stomach
CL150,0.164466600741752,Lung
CL152,0.1193305396512,Breast
CL153,0.154300476617138,Lung
CL154,0.0517414590623307,Lung
CL155,0.081356001916411,Breast
CL156,0.0966878712483043,Breast
CL157,0.0926029620571858,Breast
CL158,0.0320513438578127,Lung
CL159,0.104772331407619,Lung
CL160,0.0702407089012555,Breast
CL163,0.0370017992503451,Lung
CL164,0.0769735025742672,Breast
CL165,0.197491476371684,Breast
CL166,0.109088881639226,Breast
CL167,0.113931470639321,Lung
CL168,0.134333097139767,Breast
CL169,0.077542065671194,Lung
CL170,0.493212495836087,Lung
CL171,0.0728015349467168,Lung
CL172,0.571245682188247,Lung
CL174,0.0335390515120375,Lung
CL175,0.738476051102973,Lung
CL176,0.164480807453395,Lung
CL177,0.0952625000000006,Bowel
CL178,0.140885599253075,Bowel
CL179,0.0733732869738266,Myeloid
CL180,0.150983858396507,Lymphoid
CL182,0.108443974999672,Uterus
CL187,0.0342917543961387,Uterus
CL188,0.197504866648156,Uterus
CL189,0.089325115585747,Uterus
CL190,0.0707555434014037,Uterus
CL191,0.132186607383327,Myeloid
CL192,0.0683887892072684,Myeloid
CL193,0.198749989443168,Cervix
CL194,0.0686488036294334,Liver
CL195,0.10408304361805,Ovary/Fallopian Tube
CL196,0.19415513416772,Esophagus/Stomach
CL197,0.224919336692752,Lymphoid
CL199,0.0377667307686731,Liver
CL200,0.0406188046796482,Breast
CL201,0.0710772654126261,Skin
CL202,0.195368324854013,Lung
CL203,0.159757760465196,Lung
CL204,0.0647469231417877,Bone
CL206,0.147788187516305,Pancreas
CL207,0.0706258322393854,Lymphoid
CL208,0.0785948028711738,Skin
CL209,0.0577223769419983,Breast
CL210,0.116301116499019,Lymphoid
CL211,0.0190035505138581,CNS/Brain
CL212,0.0436538584106941,Skin
CL213,0.058665955889114,Soft Tissue
CL214,0.0698421353079939,Esophagus/Stomach
CL215,0.241101485206027,Pancreas
CL216,0.0405846603242112,Bone
CL217,0.0448195798915576,Skin
CL218,0.0383039590561933,Skin
CL219,0.215015813946661,Bone
CL220,0.0502326678771831,Skin
CL221,0.112682795862907,Skin
CL222,0.0211098254739772,Skin
CL223,0.0846787539111547,Skin
CL224,0.0705234788303299,Skin
CL227,0.00653165966934551,Lymphoid
CL228,0.061055573747668,Soft Tissue
CL229,0.038914263264335,Bladder/Urinary Tract
CL230,0.255610808960063,Bladder/Urinary Tract
CL231,0.0674324480940721,Skin
CL232,0.0994437500000004,Bowel
CL233,0.296358925947651,Bowel
CL234,0.365996354043971,Bowel
CL235,0.260701135821066,Biliary Tract
CL236,0.0332044286479253,Esophagus/Stomach
CL238,0.0929364250207596,Biliary Tract
CL240,0.0645499647297788,Lymphoid
CL242,0.343996420420577,Pancreas
CL243,0.170562678850847,Lymphoid
CL244,0.0866536388243906,Skin
CL245,0.046696232251506,Skin
CL246,0.050916815825104,Skin
CL247,0.319425658896134,Ovary/Fallopian Tube
CL248,0.154079009392635,Esophagus/Stomach
CL249,0.122320942399601,Skin
CL250,0.184155773598667,Uterus
CL251,0.0921129474639139,Pleura
CL252,0.0771942475870863,Bladder/Urinary Tract
CL253,0.0711260202538895,Lymphoid
CL255,0.0594699692971945,Liver
CL256,0.167785946004498,Liver
CL257,0.314190595227788,Liver
CL258,0,Liver
CL259,0.217971089592407,Ovary/Fallopian Tube
CL260,0.025377766790591,Ovary/Fallopian Tube
CL261,0.0602020347970647,Ovary/Fallopian Tube
CL262,0.11757863554731,Uterus
CL263,0.195972599542739,Uterus
CL264,0.195399349669722,Uterus
CL266,0.105177244504763,Breast
CL267,0.124774120860891,Lymphoid
CL268,0.316355081461424,Myeloid
CL269,0.270031277270792,Pleura
CL270,0.0674060124396688,Lymphoid
CL271,0.198574814627603,Bladder/Urinary Tract
CL272,0.235881907891147,Myeloid
CL273,0.188209306203754,Lymphoid
CL274,0.0773715380414983,Myeloid
CL275,0.0625548209198869,Skin
CL276,0.0999914681383682,CNS/Brain
CL277,0.0820469234694206,Lymphoid
CL278,0,Lymphoid
CL279,0.0795874551656154,Myeloid
CL280,0.159895878960632,Lymphoid
CL281,0.17590900995932,Esophagus/Stomach
CL282,0.105459700287231,Myeloid
CL283,0.194084920506557,Lymphoid
CL284,0.230317517938668,Esophagus/Stomach
CL285,0.159295331462144,Lymphoid
CL286,0.112003251616828,CNS/Brain
CL287,0.0730765207768734,Lymphoid
CL288,0.163899517533772,Lymphoid
CL289,0.0446791088351865,Uterus
CL290,0.0892134864634015,Lymphoid
CL291,0.119355626418578,Bowel
CL292,0.270059998289618,Bladder/Urinary Tract
CL293,0,Lymphoid
CL294,0.0697906944095381,Kidney
CL296,0.119378171485349,Kidney
CL297,0.202867475756085,Kidney
CL298,0.0776716082205839,Lymphoid
CL299,0.135040681833101,Lymphoid
CL300,0.0405872250240426,Lymphoid
CL301,0.173926969667258,Lymphoid
CL302,0.0505196496794678,Other
CL303,0.276190190035298,Lymphoid
CL304,0.00831234901405069,Lymphoid
CL305,0.0382805072368756,Lymphoid
CL306,0.116124702859157,Lymphoid
CL307,0.0386775855791626,CNS/Brain
CL308,0.0248071530341915,CNS/Brain
CL310,0.073263060970066,Myeloid
CL311,0.120848103736772,Pancreas
CL312,0.0637550731066312,Pancreas
CL313,0,Peripheral Nervous System
CL314,0.013941511986611,Breast
CL316,0.223620999034907,Myeloid
CL318,0.039214212438961,Soft Tissue
CL319,0.210971377495851,Myeloid
CL321,0.0882636146628437,Esophagus/Stomach
CL322,0.168849177042657,Esophagus/Stomach
CL323,0.170519320019106,Esophagus/Stomach
CL324,0.238492287407485,Esophagus/Stomach
CL325,0.210774618790247,Esophagus/Stomach
CL326,0.109870726294093,Esophagus/Stomach
CL329,0.0662023040278854,Lymphoid
CL330,0.145094178768614,Lymphoid
CL331,0.184450233382373,Lymphoid
CL333,0.205912453779564,Myeloid
CL334,0.018863992201684,Lung
CL335,0.172195888774408,Lung
CL336,0.136925091497407,Liver
CL337,0.0028815476011463,Lung
CL338,0.0369027023884066,Esophagus/Stomach
CL339,0.109571934494517,CNS/Brain
CL340,0.109195346391586,CNS/Brain
CL341,0.108498210805298,Prostate
CL342,0.123224764255186,Lung
CL343,0.265998275300913,Bowel
CL344,0.0939404981444585,Skin
CL345,0.0370748221085714,Lymphoid
CL346,0.000886995751886031,Bowel
CL348,0.182272653695375,Bowel
CL349,0,Bowel
CL350,0.0520669577026352,Bowel
CL351,0.113964880351241,Lung
CL352,0.118296704246409,Lung
CL353,0.138049124274516,Lung
CL354,0.0906056967187482,Lung
CL355,0.184694872421772,Myeloid
CL356,0.0103069256258403,CNS/Brain
CL357,0.153985334468757,Skin
CL358,0.0578845610450549,Lymphoid
CL359,0.214017152341271,Ovary/Fallopian Tube
CL360,0.0152295041016111,Breast
CL361,0.0386189169551918,Breast
CL362,0.0420884294678313,Breast
CL363,0.14118190764736,Breast
CL364,0.0330063199539826,Skin
CL365,0.127561318940198,Breast
CL366,0.15681138524499,Breast
CL367,0.0686319647897194,Bowel
CL368,0.134292141712302,Lymphoid
CL369,0.0678108187682784,Skin
CL370,0.0894488115747248,Skin
CL371,0.138287379274421,Skin
CL372,0.119073048768879,Uterus
CL373,0.161825005747722,Uterus
CL374,0.0350096923692113,Bone
CL375,0.149620847786041,Lymphoid
CL376,0.114217602382441,Lymphoid
CL377,0.0888691182345541,Bone
CL378,0.100600075027595,Peripheral Nervous System
CL379,0.0584295682694539,Pancreas
CL380,0.173607036655583,Lymphoid
CL381,0.090428002561267,Esophagus/Stomach
CL382,0.0777750000000001,Esophagus/Stomach
CL383,0.0731997485704239,Esophagus/Stomach
CL384,0.131345059200737,Esophagus/Stomach
CL385,0.123219979940266,Thyroid
CL386,0.0264321529115028,Lymphoid
CL387,0.238154359834332,Myeloid
CL388,0.34279057305881,Myeloid
CL389,0.179031578351865,Myeloid
CL390,0.0423777470440744,Lymphoid
CL391,0.0213341824116235,Lymphoid
CL392,0.168267246016914,Lymphoid
CL393,0.200600456958765,Lymphoid
CL394,0.188092961890559,Myeloid
CL395,0.0600439114129736,Myeloid
CL397,0.0491069403110488,Pleura
CL398,0.224492357622986,Pleura
CL399,0.263058128610346,Myeloid
CL400,0.119012227730173,Lymphoid
CL401,0.0901624494957268,Lymphoid
CL402,0,Myeloid
CL403,0.44769280516442,Esophagus/Stomach
CL404,0.0281103864364676,Lung
CL405,0.0834571735827871,Lung
CL406,0.110373488690233,Lung
CL407,0.0771808161986052,Lung
CL408,0.0302782641060496,Lung
CL409,0.0476467764465218,Lung
CL410,0.170438514587099,Lung
CL411,0.113108383089377,Lung
CL413,0.214573106349541,Lung
CL414,0.0868913941373065,Lung
CL415,0.220186107956046,Lung
CL416,0.23511866257223,Lung
CL417,0.364479585851495,Lung
CL418,0.160365375473003,Lung
CL420,0.183635398229833,Lung
CL421,0.432535754289045,Lung
CL422,0.171877000794488,Lung
CL423,0.0650327775464307,Lung
CL424,0.0852255172179563,Lung
CL425,0.248394792790398,Lung
CL426,0.181871413252817,Lung
CL427,0.0894092892521087,Lung
CL428,0.18787516922263,Lung
CL429,0.164320457534565,Lung
CL430,0.251382051199394,Lung
CL431,0.110696996633394,Lung
CL432,0.327381620552199,Lung
CL433,0.0441029270941375,Lung
CL434,0.231242163983064,Lung
CL435,0.143607296757897,Lung
CL436,0.0548428054159769,Lung
CL437,0,Lung
CL438,0.15689913845167,Lung
CL439,0.16051900011411,Pleura
CL440,0,Lung
CL441,0.174003287963451,Lung
CL442,0.0858185943521418,Lung
CL443,0.0445491413542315,Lung
CL444,0.039399493497697,Lung
CL445,0.153588879924225,Lung
CL446,0.23688794504742,Lung
CL447,0.0493812499999999,Lung
CL448,0.190737577831317,Lung
CL449,0,Lung
CL450,0.110172451584982,Lung
CL451,0.0100014616216796,Pleura
CL452,0.0734817785307502,Lung
CL453,0.0383737307796709,Lung
CL454,0.0395309944985445,Lung
CL455,0.129306935594866,Lung
CL456,0.138045502644455,Lung
CL457,0.080456120046475,Pleura
CL458,0.0889582152525229,Pleura
CL461,0.406581936001397,Lung
CL462,0.0820165484925864,Lung
CL463,0.0757621068697027,Lung
CL464,0.119338571428488,Lung
CL466,0.029194324177228,Lung
CL467,0.0596001025336278,Lung
CL468,0.0282783871595033,Lung
CL469,0.0502030642426948,Lung
CL470,0.105864719905771,Lung
CL471,0.171743730847132,Prostate
CL472,0.236220259960342,Lung
CL473,0.0758555038213707,Lung
CL474,0.0895769737899072,Bowel
CL475,0.0684802940740914,Lung
CL476,0.357432961063384,Bowel
CL477,0,Lung
CL478,0.0352825802031746,Lung
CL479,0.128773977467247,Lung
CL480,0,Lymphoid
CL481,0.274941541181894,Esophagus/Stomach
CL482,0.2294592269499,Myeloid
CL483,0.0484631279803174,Peripheral Nervous System
CL484,0.105073123333466,CNS/Brain
CL485,0.175375690938191,Lymphoid
CL486,0.214398027709228,Lymphoid
CL487,0.323437802624109,Esophagus/Stomach
CL488,0.400742234028059,Esophagus/Stomach
CL489,0.148585107035478,Ovary/Fallopian Tube
CL490,0.0958249160972509,Ovary/Fallopian Tube
CL491,0.1115231766302,Ovary/Fallopian Tube
CL492,0.0321030205157864,Myeloid
CL493,0.11137699639338,Myeloid
CL494,0.109186708891566,Lymphoid
CL495,0.110290582757963,Lymphoid
CL496,0.0132796418643652,Myeloid
CL497,0,Esophagus/Stomach
CL498,0.095710682823611,Esophagus/Stomach
CL500,0.0757037827269192,Esophagus/Stomach
CL501,0.249365180131421,Ovary/Fallopian Tube
CL503,0.0633995989737011,Lymphoid
CL504,0.104892565973102,Kidney
CL505,0.0816862004543678,Bowel
CL506,0.0108399496095545,Ovary/Fallopian Tube
CL507,0,Ovary/Fallopian Tube
CL508,0.10618088591751,Ovary/Fallopian Tube
CL510,0.0940380277522086,Ovary/Fallopian Tube
CL511,0.1408660181629,Ovary/Fallopian Tube
CL512,0.0569939141059695,Ovary/Fallopian Tube
CL513,0.0550775220989788,Ovary/Fallopian Tube
CL515,0.0946135440559278,Lymphoid
CL516,0.168189248052982,Myeloid
CL517,0.01734587922491,Lymphoid
CL521,0.183964682105539,Pancreas
CL522,0.0943388425479666,Pancreas
CL523,0.0855358245792288,Pancreas
CL524,0.104906249999999,Pancreas
CL526,0.118037316783241,Pancreas
CL527,0.812465281854187,Lung
CL530,0.300515035799935,Head and Neck
CL532,0.223190722624787,Head and Neck
CL533,0.20983318494044,Lymphoid
CL534,0.110435947355142,Lymphoid
CL535,0.252783069093184,Lymphoid
CL536,0.122039836740907,Pancreas
CL537,0.00899141050194184,Pancreas
CL538,0.0658334112120087,Pancreas
CL539,0.0604569819193877,Myeloid
CL540,0.0547027184962883,Liver
CL541,0,Pancreas
CL542,0.0895358603441126,Pancreas
CL543,0,Lymphoid
CL544,0.0794769280277394,Kidney
CL545,0.115906288618406,Lymphoid
CL547,0.0409994154264325,Soft Tissue
CL548,0.0914566776770808,Lymphoid
CL549,0.0778064556442808,Lung
CL550,0.0299251067963687,Lung
CL552,0.0793972169991553,Lung
CL553,0.141208388941542,Soft Tissue
CL554,0.113174088640174,Lymphoid
CL555,0.0223203782702375,Bowel
CL556,0.00339408208052644,Lymphoid
CL557,0.236222684631192,Uterus
CL558,0.21594836550333,Ovary/Fallopian Tube
CL559,0.0630187656610124,Skin
CL560,0.139261846828294,Lymphoid
CL561,0.120620069686232,Lymphoid
CL562,0.0919911697024549,Bladder/Urinary Tract
CL563,0.170617231643897,Skin
CL564,0.0453625000000002,Lung
CL567,0.235036613221986,Head and Neck
CL569,0.218709207846315,Lymphoid
CL570,0.187064654182123,Myeloid
CL571,0.0531212857463027,CNS/Brain
CL572,0.0810692345061869,CNS/Brain
CL573,0,CNS/Brain
CL574,0.097123494166826,CNS/Brain
CL575,0.105540702311875,Esophagus/Stomach
CL576,0.20683417756372,Skin
CL577,0.00335565611725284,Lung
CL578,0.0915474731596059,Myeloid
CL579,0.0185655642096626,Bone
CL580,0.202788594758502,Breast
CL581,0.0879610382445213,Bowel
CL582,0.163000038039411,Bone
CL583,0.0893655688925532,Liver
CL584,0.0874021255128132,Soft Tissue
CL585,0.121941988458753,Lung
CL586,0.0384787334943934,Skin
CL587,0.0666395604524852,Skin
CL588,0.140593515823583,Skin
CL589,0.0809396506886004,Skin
CL590,0.0178265696506593,Skin
CL591,0.102811920659013,Skin
CL592,0.0333802987023926,Skin
CL593,0.187683011648431,Lung
CL594,0,Lymphoid
CL595,0.0277576558139567,Peripheral Nervous System
CL596,0.178151376234221,Peripheral Nervous System
CL597,0.0896089006102213,Peripheral Nervous System
CL598,0.0941920507168734,CNS/Brain
CL599,0.0581499504844984,Peripheral Nervous System
CL600,0.11965686127612,Ovary/Fallopian Tube
CL601,0.0115544638069668,Uterus
CL602,0.137654252452093,CNS/Brain
CL603,0.213938485550624,Uterus
CL604,0.115264690226867,Esophagus/Stomach
CL606,0.215251530358362,Head and Neck
CL607,0.225679294250378,Head and Neck
CL611,0.0674329014387962,CNS/Brain
CL612,0.255696010979136,Ovary/Fallopian Tube
CL613,0.183984554579845,Biliary Tract
CL614,0.33486169390988,Head and Neck
CL615,0.0373587484744419,Kidney
CL616,0.163921830108101,Esophagus/Stomach
CL617,0.135560385374293,Liver
CL618,0.0763160957605905,CNS/Brain
CL619,0.177557445528956,Pancreas
CL620,0.305369268209987,Esophagus/Stomach
CL621,0.294008610664032,Biliary Tract
CL622,0.00181206441971729,Liver
CL623,6.51924163091243e-19,Liver
CL624,0.161250729303625,Bowel
CL625,0.0990832473314226,Pancreas
CL626,0.0194297402534654,Liver
CL627,0.0574134470550323,Liver
CL628,0.118622722158994,Head and Neck
CL629,0.152999497548177,CNS/Brain
CL630,0.0294892525499977,Liver
CL631,0.320237712704697,Ampulla of Vater
CL632,0.0616308435952438,CNS/Brain
CL633,0.152006909917125,Bowel
CL634,0.183733886723882,Esophagus/Stomach
CL636,0.0499760820893948,Esophagus/Stomach
CL637,0.0534799821802894,CNS/Brain
CL638,0.0645910138967298,Esophagus/Stomach
CL639,0.0318689099820975,Uterus
CL640,0.0562062847581597,Esophagus/Stomach
CL641,0.0407826518991651,CNS/Brain
CL643,0.236204699995424,Ovary/Fallopian Tube
CL644,0.22838229122683,Ovary/Fallopian Tube
CL646,0.175871985026914,Liver
CL647,0.0418839419131274,Liver
CL648,0.13752296645543,Head and Neck
CL649,0.0547175467716616,Bowel
CL650,0.0826601941587373,Bowel
CL651,0.172018105432714,Bowel
CL652,0.0647371002900389,Bowel
CL654,0.027938547735282,Lymphoid
CL655,0.0291147667536649,Lymphoid
CL656,0.0864076663398126,Lymphoid
CL657,0.162355525223351,Lymphoid
CL658,0.0671945897957691,Lymphoid
CL659,0.14783176417733,Lymphoid
CL660,0.0597861906335717,Lymphoid
CL662,0.122219790385257,Pancreas
CL663,0.12239357597701,Lymphoid
CL664,0.0632304445934493,Lymphoid
CL665,0.0622165750382309,Lymphoid
CL666,0.0325069068045782,Lymphoid
CL667,0.0519711171669856,CNS/Brain
CL668,0.0388158054989545,Lung
CL669,0.0337829997258527,Bone
CL670,0.0535586140385495,Bowel
CL671,0.118720101609382,Lung
CL672,0.152002453722509,Bladder/Urinary Tract
CL673,0,CNS/Brain
CL674,0.132013253487404,Pancreas
CL675,0.327114833668542,Bowel
CL676,0.0802451056202318,Thyroid
CL677,0.0977360046312191,Bowel
CL678,0.0244631974659675,Bowel
CL679,0.0778256703488371,Breast
CL680,0.109374453504959,Bladder/Urinary Tract
CL681,0.00598610953048527,Lung
CL683,0.0521734891713711,CNS/Brain
CL684,0.0827212291616722,Lymphoid
CL685,0.0546894707237885,Bone
CL686,0.038161494694687,Pancreas
CL687,0.082166263662967,Bladder/Urinary Tract
CL688,0.10950443353789,Soft Tissue
CL689,0.279785451401711,Soft Tissue
CL690,0.109836519497824,Esophagus/Stomach
CL693,0.292103150420458,Esophagus/Stomach
CL694,0.295117642276552,Esophagus/Stomach
CL695,0.214880835105786,Esophagus/Stomach
CL697,0.206362084806651,Esophagus/Stomach
CL698,0.132167533577148,Esophagus/Stomach
CL699,0.115255769554041,Esophagus/Stomach
CL700,0.070294758671059,Myeloid
CL701,0.0230522274933601,Myeloid
CL702,0.0634625317601785,CNS/Brain
CL703,0.0347367998227116,Other
CL704,0.195012795323035,Ovary/Fallopian Tube
CL705,0.045656759887952,Ovary/Fallopian Tube
CL706,0.240050693694129,Thyroid
CL707,0.0763686794355275,Thyroid
CL708,0.0567156098960557,Other
CL709,0.01767516669578,Kidney
CL710,0.0349794663758579,Kidney
CL711,0.100488077212696,Kidney
CL712,0.105204209935282,Ovary/Fallopian Tube
CL713,0.0667241151094762,CNS/Brain
CL714,0.0671917241107685,CNS/Brain
CL715,0.0569536434615417,Myeloid
CL716,0.619164964025834,Bladder/Urinary Tract
CL717,0.141478548106806,Lymphoid
CL718,0.0841000177543939,Bone
CL719,0.00606549061230906,Skin
CL720,0.0812803304670351,Skin
CL721,0.0548390302276129,Bladder/Urinary Tract
CL722,0.260300318049117,Kidney
CL723,0,Prostate
CL724,0.224132214243106,Bladder/Urinary Tract
CL725,0.061852428072826,Kidney
CL726,0.165350019235343,Kidney
CL727,0.0883987158451214,Skin
CL728,0.125662101714477,Skin
CL729,0.0504201646264772,Skin
CL730,0.0776560351927884,Skin
CL731,0.116027044646204,Skin
CL732,0.057095850713484,Skin
CL733,0.151045504846768,Lymphoid
CL734,0.0764353963025069,Pancreas
CL736,0.352508270222274,Head and Neck
CL737,0.412414315916747,Head and Neck
CL738,0.0643003556974407,Head and Neck
CL739,0.0256105519131558,CNS/Brain
CL740,0.0225135190690012,CNS/Brain
CL741,0.13412164318643,Breast
CL742,0.181490823891526,Breast
